,experiment,type,loss,total_detected,avg_error
0,dim,indoor_0.9,43.167147122,277,0.155838076253
1,dim,outdoor_0.9,93.5383673908,263,0.3556591916
2,dim,indoor_0.8,44.5757889527,279,0.159769852877
3,dim,outdoor_0.8,38.8677214351,257,0.151236270176
4,dim,indoor_0.7,44.152061247,277,0.159393722913
5,dim,outdoor_0.7,99.3280874375,259,0.383506129102
6,dim,indoor_0.6,46.0002802935,277,0.166065993839
7,dim,outdoor_0.6,100.410349125,255,0.393766075
8,dim,indoor_0.5,47.3179194458,272,0.173962939139
9,dim,outdoor_0.5,41.5619214017,250,0.166247685607
10,dim,indoor_0.4,50.900390931,271,0.187824320779
11,dim,outdoor_0.4,45.7648782054,250,0.183059512822
12,dim,indoor_0.3,56.3743970059,267,0.211140063693
13,dim,outdoor_0.3,46.6477721223,235,0.198501157967
14,dim,indoor_0.2,62.9792603816,243,0.259173911036
15,dim,outdoor_0.2,50.4093191544,213,0.236663470208
16,dim,indoor_0.1,50.9148623534,164,0.310456477765
17,dim,outdoor_0.1,38.1887082784,129,0.296036498283
