,imgPath,points
0,/media/drive/ibug/300W_cropped/01_Indoor/indoor_112.png,"[[ 138.275  124.   ]
 [ 138.499  146.429]
 [ 138.     171.738]
 [ 139.811  191.022]
 [ 147.812  207.071]
 [ 156.862  224.302]
 [ 172.526  238.226]
 [ 191.324  247.624]
 [ 213.268  252.09 ]
 [ 230.092  246.755]
 [ 245.139  234.37 ]
 [ 256.751  224.908]
 [ 267.85   212.964]
 [ 275.111  198.294]
 [ 278.733  179.256]
 [ 280.117  159.395]
 [ 281.561  134.414]
 [ 161.758  151.312]
 [ 175.528  150.796]
 [ 187.215  153.191]
 [ 201.102  152.771]
 [ 208.711  158.098]
 [ 232.926  156.494]
 [ 244.72   151.055]
 [ 256.092  148.241]
 [ 267.286  146.064]
 [ 276.521  146.111]
 [ 222.822  171.136]
 [ 223.162  185.019]
 [ 223.698  198.253]
 [ 224.351  211.66 ]
 [ 200.2    205.505]
 [ 210.469  211.422]
 [ 223.174  216.296]
 [ 232.225  211.77 ]
 [ 238.838  205.331]
 [ 164.707  161.974]
 [ 176.846  167.835]
 [ 191.976  170.005]
 [ 205.143  168.343]
 [ 192.187  172.535]
 [ 176.846  170.366]
 [ 237.075  166.289]
 [ 247.732  168.499]
 [ 260.793  166.414]
 [ 270.594  160.557]
 [ 261.004  169.366]
 [ 247.521  170.819]
 [ 188.88   214.99 ]
 [ 201.607  217.169]
 [ 212.249  218.041]
 [ 220.545  219.8  ]
 [ 228.843  217.75 ]
 [ 237.046  216.459]
 [ 244.19   213.193]
 [ 236.287  223.346]
 [ 229.297  230.337]
 [ 220.488  231.663]
 [ 212.141  230.949]
 [ 200.731  225.957]
 [ 193.497  218.28 ]
 [ 211.729  222.475]
 [ 220.518  223.184]
 [ 228.811  221.061]
 [ 240.635  216.234]
 [ 228.948  221.187]
 [ 220.518  223.184]
 [ 211.729  222.475]]"
1,/media/drive/ibug/300W_cropped/01_Indoor/indoor_035.png,"[[ 145.527  132.81 ]
 [ 148.912  154.348]
 [ 153.988  174.809]
 [ 159.835  194.04 ]
 [ 168.619  207.566]
 [ 181.176  221.763]
 [ 198.318  232.653]
 [ 219.414  241.886]
 [ 238.051  242.349]
 [ 254.7    237.699]
 [ 267.959  228.966]
 [ 276.228  218.215]
 [ 287.1    200.93 ]
 [ 291.662  180.836]
 [ 290.858  160.514]
 [ 289.937  139.993]
 [ 287.693  117.704]
 [ 160.906  124.427]
 [ 172.547  120.207]
 [ 185.683  122.32 ]
 [ 198.763  120.785]
 [ 208.531  119.273]
 [ 231.201  114.2  ]
 [ 243.939  113.986]
 [ 256.043  113.   ]
 [ 267.374  113.536]
 [ 276.741  115.963]
 [ 221.294  130.685]
 [ 225.143  145.918]
 [ 229.053  158.843]
 [ 233.26   172.908]
 [ 210.163  179.901]
 [ 220.651  181.507]
 [ 232.209  181.721]
 [ 242.163  179.687]
 [ 249.44   174.015]
 [ 177.764  139.308]
 [ 186.535  132.49 ]
 [ 196.73   131.45 ]
 [ 206.478  137.105]
 [ 197.669  138.934]
 [ 187.396  140.879]
 [ 235.971  132.275]
 [ 242.349  122.795]
 [ 253.099  123.552]
 [ 264.663  126.283]
 [ 255.117  130.442]
 [ 244.972  132.436]
 [ 203.686  207.888]
 [ 216.629  203.09 ]
 [ 226.544  201.004]
 [ 234.568  201.853]
 [ 243.143  199.17 ]
 [ 251.843  198.454]
 [ 266.194  197.79 ]
 [ 253.022  203.813]
 [ 244.709  207.7  ]
 [ 235.658  209.902]
 [ 227.765  210.324]
 [ 217.806  209.301]
 [ 209.107  206.21 ]
 [ 227.38   204.809]
 [ 234.717  203.639]
 [ 243.795  203.374]
 [ 260.326  198.204]
 [ 243.795  203.374]
 [ 234.717  203.639]
 [ 227.38   204.809]]"
2,/media/drive/ibug/300W_cropped/01_Indoor/indoor_067.png,"[[ 163.588  258.108]
 [ 163.     298.223]
 [ 165.883  341.994]
 [ 178.624  390.428]
 [ 201.229  423.882]
 [ 231.557  445.907]
 [ 271.787  461.232]
 [ 310.404  475.09 ]
 [ 357.2    482.966]
 [ 395.753  478.967]
 [ 425.866  457.089]
 [ 436.317  425.739]
 [ 446.597  384.185]
 [ 456.068  351.101]
 [ 465.277  318.387]
 [ 465.888  289.111]
 [ 462.952  257.386]
 [ 245.412  206.816]
 [ 268.45   188.375]
 [ 304.771  186.   ]
 [ 333.417  193.448]
 [ 358.539  206.967]
 [ 408.565  215.065]
 [ 429.12   201.604]
 [ 451.972  194.439]
 [ 466.822  195.617]
 [ 474.891  210.011]
 [ 391.231  236.757]
 [ 397.809  257.407]
 [ 405.843  280.901]
 [ 414.615  299.894]
 [ 366.037  332.401]
 [ 384.013  336.044]
 [ 399.905  335.675]
 [ 412.083  336.77 ]
 [ 422.897  332.784]
 [ 265.574  243.095]
 [ 285.619  229.907]
 [ 311.405  229.33 ]
 [ 336.213  244.86 ]
 [ 310.92   252.491]
 [ 284.595  252.233]
 [ 406.264  248.957]
 [ 428.386  233.799]
 [ 447.621  237.191]
 [ 455.808  247.11 ]
 [ 447.56   260.056]
 [ 427.618  256.578]
 [ 323.994  393.088]
 [ 358.91   377.452]
 [ 382.152  371.066]
 [ 398.105  375.457]
 [ 414.143  371.029]
 [ 427.799  378.121]
 [ 431.759  395.305]
 [ 427.831  408.527]
 [ 413.1    413.582]
 [ 398.845  413.037]
 [ 379.913  413.551]
 [ 358.035  406.29 ]
 [ 336.715  392.555]
 [ 380.834  388.828]
 [ 398.665  390.157]
 [ 413.483  390.494]
 [ 427.91   394.116]
 [ 413.483  390.494]
 [ 398.665  390.157]
 [ 380.834  388.828]]"
3,/media/drive/ibug/300W_cropped/01_Indoor/indoor_245.png,"[[  64.     105.273]
 [  64.936  122.201]
 [  67.67   139.964]
 [  72.835  156.438]
 [  79.46   173.071]
 [  90.512  185.092]
 [ 103.241  194.203]
 [ 116.014  200.173]
 [ 131.908  200.036]
 [ 145.928  193.358]
 [ 155.299  182.252]
 [ 162.93   170.145]
 [ 169.04   156.924]
 [ 173.54   143.37 ]
 [ 177.104  128.392]
 [ 176.379  113.937]
 [ 175.432   98.805]
 [  71.952   91.33 ]
 [  78.186   82.429]
 [  86.874   76.554]
 [  98.928   75.536]
 [ 108.169   77.394]
 [ 128.963   74.465]
 [ 139.758   72.   ]
 [ 153.581   72.047]
 [ 164.81    75.714]
 [ 172.147   85.277]
 [ 120.73    93.781]
 [ 121.226  104.831]
 [ 121.808  116.148]
 [ 122.757  127.213]
 [ 108.656  134.64 ]
 [ 115.737  136.584]
 [ 124.067  136.861]
 [ 131.565  134.501]
 [ 137.396  132.002]
 [  79.774  100.577]
 [  89.254   95.099]
 [  97.338   96.023]
 [ 104.72   102.65 ]
 [  96.856  101.477]
 [  88.537  100.422]
 [ 135.591   99.513]
 [ 141.145   92.294]
 [ 148.88    91.814]
 [ 157.535   96.466]
 [ 150.155   97.535]
 [ 142.409   98.65 ]
 [  97.054  152.358]
 [ 106.012  144.92 ]
 [ 115.122  142.387]
 [ 123.249  143.334]
 [ 130.436  141.855]
 [ 140.758  143.22 ]
 [ 150.997  148.232]
 [ 141.513  161.077]
 [ 131.842  168.378]
 [ 124.052  169.306]
 [ 116.203  168.456]
 [ 106.657  163.238]
 [  99.312  152.406]
 [ 115.598  148.246]
 [ 123.373  148.385]
 [ 130.593  147.136]
 [ 146.49   148.977]
 [ 130.868  160.863]
 [ 123.501  161.88 ]
 [ 115.878  161.304]]"
4,/media/drive/ibug/300W_cropped/01_Indoor/indoor_162.png,"[[ 166.955  198.611]
 [ 165.429  220.42 ]
 [ 166.941  242.092]
 [ 173.484  263.926]
 [ 183.753  284.375]
 [ 197.346  302.552]
 [ 208.039  322.567]
 [ 224.686  339.726]
 [ 253.38   343.291]
 [ 287.679  338.944]
 [ 326.699  326.449]
 [ 359.546  307.222]
 [ 387.544  285.   ]
 [ 401.571  256.72 ]
 [ 405.507  222.805]
 [ 404.315  190.013]
 [ 402.127  157.009]
 [ 153.     146.632]
 [ 155.554  130.   ]
 [ 166.238  136.204]
 [ 175.634  142.978]
 [ 184.348  149.364]
 [ 217.139  147.122]
 [ 237.304  139.695]
 [ 263.87   138.276]
 [ 282.976  149.137]
 [ 302.489  159.46 ]
 [ 203.707  184.102]
 [ 199.987  201.644]
 [ 195.821  219.906]
 [ 191.974  239.432]
 [ 183.65   253.122]
 [ 193.708  261.392]
 [ 205.823  265.877]
 [ 220.515  264.018]
 [ 235.074  261.526]
 [ 167.769  182.67 ]
 [ 177.455  184.19 ]
 [ 186.972  183.2  ]
 [ 197.576  185.492]
 [ 187.025  189.513]
 [ 177.788  188.523]
 [ 241.565  191.241]
 [ 253.09   193.041]
 [ 269.048  193.637]
 [ 288.757  190.824]
 [ 269.607  200.442]
 [ 253.526  199.705]
 [ 190.257  283.981]
 [ 194.744  281.946]
 [ 198.949  281.774]
 [ 204.914  283.965]
 [ 212.936  281.598]
 [ 233.172  288.716]
 [ 267.894  294.776]
 [ 236.543  307.047]
 [ 219.529  307.173]
 [ 211.367  305.833]
 [ 204.639  300.978]
 [ 199.163  293.496]
 [ 195.687  286.806]
 [ 201.113  289.276]
 [ 206.4    291.659]
 [ 214.33   292.637]
 [ 257.301  294.731]
 [ 214.33   292.637]
 [ 206.4    291.659]
 [ 201.113  289.276]]"
5,/media/drive/ibug/300W_cropped/01_Indoor/indoor_026.png,"[[ 263.254  249.712]
 [ 272.553  280.463]
 [ 281.853  318.565]
 [ 292.204  351.866]
 [ 307.354  381.567]
 [ 325.337  410.661]
 [ 350.988  434.721]
 [ 380.715  451.622]
 [ 415.604  450.761]
 [ 454.299  438.299]
 [ 486.55   407.027]
 [ 509.069  376.062]
 [ 521.398  340.27 ]
 [ 528.357  301.098]
 [ 530.146  261.528]
 [ 526.368  221.759]
 [ 518.298  183.562]
 [ 267.     230.189]
 [ 270.842  202.452]
 [ 296.04   191.049]
 [ 321.499  187.649]
 [ 340.317  198.056]
 [ 372.676  184.328]
 [ 384.875  163.44 ]
 [ 411.743  153.522]
 [ 440.226  149.   ]
 [ 464.966  162.327]
 [ 355.43   212.37 ]
 [ 358.706  238.036]
 [ 361.828  265.985]
 [ 365.572  293.406]
 [ 348.205  304.08 ]
 [ 361.528  307.66 ]
 [ 376.043  307.262]
 [ 394.585  305.511]
 [ 410.128  299.114]
 [ 289.148  235.082]
 [ 300.275  225.397]
 [ 315.675  222.23 ]
 [ 335.279  229.116]
 [ 318.974  233.292]
 [ 302.868  238.661]
 [ 398.637  212.108]
 [ 412.431  193.325]
 [ 429.751  187.933]
 [ 446.655  192.575]
 [ 434.376  201.295]
 [ 416.488  206.342]
 [ 347.378  364.504]
 [ 363.589  352.631]
 [ 378.87   345.992]
 [ 391.733  346.47 ]
 [ 408.263  338.042]
 [ 425.982  337.582]
 [ 447.518  340.335]
 [ 428.953  350.512]
 [ 413.003  358.218]
 [ 396.972  363.492]
 [ 384.515  366.038]
 [ 367.994  367.842]
 [ 353.709  361.381]
 [ 381.     354.668]
 [ 393.651  352.73 ]
 [ 409.855  346.205]
 [ 437.168  341.675]
 [ 409.855  346.205]
 [ 393.651  352.73 ]
 [ 381.     354.668]]"
6,/media/drive/ibug/300W_cropped/01_Indoor/indoor_280.png,"[[  61.836  130.47 ]
 [  59.732  150.023]
 [  59.732  168.204]
 [  60.214  182.315]
 [  62.83   197.724]
 [  68.822  214.192]
 [  80.459  228.133]
 [  97.5    242.319]
 [ 120.753  252.398]
 [ 143.683  248.257]
 [ 163.294  242.355]
 [ 178.623  233.265]
 [ 192.883  221.5  ]
 [ 200.387  205.455]
 [ 204.457  186.35 ]
 [ 212.332  167.835]
 [ 219.908  150.506]
 [  77.7    115.75 ]
 [  90.774  109.   ]
 [ 104.834  111.752]
 [ 118.544  114.378]
 [ 128.434  123.545]
 [ 150.734  124.115]
 [ 163.922  122.649]
 [ 178.15   124.619]
 [ 190.516  128.94 ]
 [ 197.663  135.318]
 [ 141.027  132.468]
 [ 137.854  146.523]
 [ 134.855  160.655]
 [ 131.987  173.922]
 [ 113.704  169.641]
 [ 122.096  175.801]
 [ 130.588  182.621]
 [ 140.919  179.401]
 [ 149.497  175.277]
 [  88.589  129.918]
 [  99.996  130.803]
 [ 111.137  132.77 ]
 [ 121.526  135.628]
 [ 111.137  132.77 ]
 [  99.996  130.803]
 [ 153.169  140.611]
 [ 163.759  142.822]
 [ 174.638  146.455]
 [ 184.788  149.044]
 [ 174.638  146.455]
 [ 163.759  142.822]
 [  91.967  192.029]
 [ 104.943  184.224]
 [ 117.535  184.655]
 [ 128.562  189.713]
 [ 144.186  189.188]
 [ 157.838  193.519]
 [ 165.544  202.411]
 [ 154.406  213.875]
 [ 139.407  219.338]
 [ 122.749  218.808]
 [ 109.42   214.38 ]
 [  98.363  206.654]
 [  95.803  192.174]
 [ 115.707  192.293]
 [ 127.637  195.31 ]
 [ 143.356  194.79 ]
 [ 161.291  201.939]
 [ 140.853  209.586]
 [ 124.744  209.105]
 [ 112.22   204.786]]"
7,/media/drive/ibug/300W_cropped/01_Indoor/indoor_214.png,"[[ 133.     254.112]
 [ 135.644  292.157]
 [ 136.986  332.139]
 [ 143.48   365.889]
 [ 157.569  396.502]
 [ 183.608  420.457]
 [ 221.976  414.828]
 [ 257.938  393.725]
 [ 301.801  391.197]
 [ 344.571  398.203]
 [ 380.17   416.447]
 [ 409.698  407.095]
 [ 425.936  386.433]
 [ 433.654  367.395]
 [ 440.129  344.045]
 [ 443.384  319.709]
 [ 445.249  289.877]
 [ 166.579  115.308]
 [ 188.653   83.076]
 [ 224.424   68.419]
 [ 254.124   62.   ]
 [ 294.412   70.721]
 [ 308.911   69.03 ]
 [ 343.183   62.643]
 [ 373.293   76.758]
 [ 400.09    97.544]
 [ 417.603  128.096]
 [ 301.717   88.22 ]
 [ 301.94    91.311]
 [ 301.702   95.291]
 [ 302.284   99.022]
 [ 245.806  163.902]
 [ 273.304  169.754]
 [ 299.824  172.662]
 [ 327.269  172.497]
 [ 350.459  168.75 ]
 [ 180.806  141.568]
 [ 211.885  118.614]
 [ 235.561  118.038]
 [ 263.243  122.136]
 [ 235.478  122.793]
 [ 212.508  124.376]
 [ 337.925  127.046]
 [ 363.177  122.774]
 [ 389.761  132.228]
 [ 410.472  154.479]
 [ 389.343  136.888]
 [ 362.552  127.586]
 [ 201.585  284.077]
 [ 229.604  223.012]
 [ 270.298  195.86 ]
 [ 299.668  191.801]
 [ 329.552  192.987]
 [ 368.392  224.167]
 [ 389.628  277.823]
 [ 364.842  307.501]
 [ 325.137  304.065]
 [ 292.999  305.513]
 [ 270.849  305.434]
 [ 226.676  312.58 ]
 [ 210.586  283.781]
 [ 269.017  209.367]
 [ 299.176  203.089]
 [ 328.681  211.233]
 [ 382.7    279.391]
 [ 325.851  296.554]
 [ 293.872  297.183]
 [ 271.498  297.136]]"
8,/media/drive/ibug/300W_cropped/01_Indoor/indoor_128.png,"[[  66.715  325.576]
 [  66.581  357.295]
 [  72.708  397.854]
 [  84.445  433.75 ]
 [  90.711  475.271]
 [ 102.151  512.059]
 [ 115.929  549.606]
 [ 136.458  575.734]
 [ 176.71   575.822]
 [ 220.002  574.218]
 [ 261.195  555.065]
 [ 300.689  526.289]
 [ 334.872  494.206]
 [ 359.285  448.763]
 [ 369.592  392.8  ]
 [ 371.078  336.538]
 [ 372.638  287.144]
 [  52.     283.833]
 [  60.305  273.225]
 [  76.354  271.06 ]
 [  93.767  274.792]
 [ 109.247  280.522]
 [ 152.066  269.912]
 [ 183.583  251.444]
 [ 214.639  248.   ]
 [ 260.387  250.562]
 [ 297.57   274.6  ]
 [ 132.185  299.708]
 [ 125.796  324.842]
 [ 117.079  354.425]
 [ 111.808  376.489]
 [ 102.468  402.599]
 [ 118.1    410.576]
 [ 132.985  414.931]
 [ 151.703  410.715]
 [ 169.307  409.149]
 [  74.751  318.573]
 [  85.281  304.077]
 [ 105.512  301.256]
 [ 121.606  311.728]
 [ 107.315  314.686]
 [  85.937  320.367]
 [ 183.72   299.973]
 [ 203.244  284.66 ]
 [ 227.083  280.759]
 [ 245.081  286.236]
 [ 229.929  296.188]
 [ 204.762  297.662]
 [ 109.06   475.663]
 [ 118.068  459.768]
 [ 125.135  453.497]
 [ 141.563  455.288]
 [ 159.207  448.594]
 [ 184.581  451.627]
 [ 221.379  457.432]
 [ 189.59   470.971]
 [ 165.1    477.589]
 [ 146.757  481.049]
 [ 132.469  482.379]
 [ 123.053  480.346]
 [ 117.161  471.299]
 [ 128.73   465.063]
 [ 143.568  463.538]
 [ 160.779  460.423]
 [ 211.062  459.148]
 [ 160.779  460.423]
 [ 143.568  463.538]
 [ 128.73   465.063]]"
9,/media/drive/ibug/300W_cropped/01_Indoor/indoor_068.png,"[[ 143.     381.258]
 [ 144.939  424.685]
 [ 151.57   472.953]
 [ 165.898  516.443]
 [ 182.019  546.025]
 [ 211.636  577.307]
 [ 248.507  604.685]
 [ 281.632  612.04 ]
 [ 318.025  609.809]
 [ 350.426  605.2  ]
 [ 381.134  589.938]
 [ 409.387  569.984]
 [ 432.011  538.54 ]
 [ 449.511  500.885]
 [ 454.535  458.347]
 [ 456.061  419.419]
 [ 453.961  381.   ]
 [ 153.567  354.988]
 [ 174.049  326.443]
 [ 207.897  316.745]
 [ 246.802  322.227]
 [ 270.481  337.672]
 [ 317.25   330.83 ]
 [ 342.992  310.532]
 [ 382.17   302.   ]
 [ 414.344  317.171]
 [ 431.318  344.795]
 [ 297.814  360.754]
 [ 298.687  379.25 ]
 [ 299.902  396.494]
 [ 301.219  415.16 ]
 [ 262.435  453.842]
 [ 281.111  452.478]
 [ 302.124  454.095]
 [ 325.487  450.213]
 [ 348.158  447.019]
 [ 188.924  387.05 ]
 [ 208.695  373.173]
 [ 231.663  370.957]
 [ 257.457  379.815]
 [ 235.593  385.578]
 [ 211.961  392.058]
 [ 341.259  373.264]
 [ 364.703  361.051]
 [ 387.821  362.042]
 [ 408.148  370.97 ]
 [ 390.111  377.875]
 [ 365.911  377.511]
 [ 244.253  514.742]
 [ 263.708  494.297]
 [ 282.914  483.682]
 [ 305.002  488.718]
 [ 326.326  481.177]
 [ 351.229  489.897]
 [ 374.802  498.027]
 [ 355.346  524.048]
 [ 331.15   537.241]
 [ 309.303  537.372]
 [ 284.283  536.505]
 [ 267.005  530.02 ]
 [ 254.249  513.124]
 [ 282.822  503.285]
 [ 305.97   503.333]
 [ 328.419  500.899]
 [ 365.273  502.602]
 [ 328.654  514.05 ]
 [ 307.021  515.52 ]
 [ 283.148  514.144]]"
