,imgPath,points
0,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_064.png,"[[ 322.556  360.71 ]
 [ 321.9    406.418]
 [ 325.25   454.148]
 [ 333.308  502.459]
 [ 351.019  549.944]
 [ 385.454  588.538]
 [ 420.979  625.407]
 [ 455.653  659.557]
 [ 500.998  670.615]
 [ 548.001  662.395]
 [ 591.431  619.746]
 [ 627.205  576.73 ]
 [ 665.581  532.946]
 [ 696.886  482.687]
 [ 711.565  426.457]
 [ 709.942  370.804]
 [ 705.638  314.569]
 [ 317.     299.   ]
 [ 338.931  308.352]
 [ 359.929  323.132]
 [ 379.777  337.786]
 [ 402.059  350.076]
 [ 466.218  347.703]
 [ 493.791  334.419]
 [ 527.986  323.651]
 [ 563.719  319.891]
 [ 596.912  322.437]
 [ 424.614  371.696]
 [ 420.272  405.734]
 [ 415.18   438.441]
 [ 410.161  472.628]
 [ 390.141  499.463]
 [ 405.582  511.638]
 [ 423.242  519.88 ]
 [ 446.758  513.321]
 [ 463.166  503.939]
 [ 341.942  354.206]
 [ 360.923  348.671]
 [ 386.124  350.914]
 [ 406.117  361.575]
 [ 386.449  367.335]
 [ 361.284  364.819]
 [ 484.124  368.719]
 [ 505.523  355.978]
 [ 534.993  357.355]
 [ 560.461  368.475]
 [ 535.666  374.728]
 [ 505.334  373.627]
 [ 395.368  576.629]
 [ 409.371  567.201]
 [ 417.137  563.531]
 [ 428.415  569.253]
 [ 440.216  565.091]
 [ 465.013  570.672]
 [ 486.02   579.365]
 [ 466.625  598.301]
 [ 444.986  605.477]
 [ 432.258  606.007]
 [ 420.122  600.349]
 [ 408.041  590.288]
 [ 402.973  577.395]
 [ 417.968  579.087]
 [ 431.265  587.761]
 [ 442.442  580.45 ]
 [ 476.469  578.198]
 [ 442.442  580.45 ]
 [ 431.265  587.761]
 [ 417.968  579.087]]"
1,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_091.png,"[[ 624.     232.618]
 [ 624.992  267.377]
 [ 633.342  298.395]
 [ 641.934  331.227]
 [ 652.896  360.196]
 [ 669.813  384.313]
 [ 695.401  405.583]
 [ 727.625  420.513]
 [ 759.384  424.795]
 [ 787.971  420.283]
 [ 816.264  410.862]
 [ 840.743  391.798]
 [ 858.346  367.271]
 [ 869.566  335.782]
 [ 877.92   296.036]
 [ 880.95   259.27 ]
 [ 881.653  219.443]
 [ 638.589  200.566]
 [ 652.46   187.816]
 [ 677.059  188.052]
 [ 700.076  195.745]
 [ 721.017  204.124]
 [ 765.284  200.148]
 [ 783.009  187.025]
 [ 801.451  180.   ]
 [ 820.144  180.26 ]
 [ 840.063  185.253]
 [ 743.001  219.224]
 [ 743.671  237.905]
 [ 745.049  257.695]
 [ 745.617  275.113]
 [ 723.896  298.622]
 [ 737.964  302.245]
 [ 751.183  304.448]
 [ 764.581  298.612]
 [ 776.408  292.606]
 [ 656.318  227.24 ]
 [ 670.464  218.514]
 [ 691.743  218.16 ]
 [ 711.1    229.852]
 [ 692.836  231.203]
 [ 671.308  232.719]
 [ 777.831  222.958]
 [ 793.274  208.85 ]
 [ 811.87   207.16 ]
 [ 829.901  215.273]
 [ 812.104  220.916]
 [ 793.962  221.33 ]
 [ 705.776  351.051]
 [ 723.063  333.95 ]
 [ 737.431  326.387]
 [ 752.001  326.276]
 [ 767.971  321.603]
 [ 789.126  325.035]
 [ 801.228  340.601]
 [ 791.56   359.193]
 [ 773.184  364.787]
 [ 755.699  366.867]
 [ 739.113  366.605]
 [ 724.949  363.185]
 [ 720.699  346.062]
 [ 738.408  339.172]
 [ 753.499  337.762]
 [ 769.328  334.504]
 [ 786.312  340.518]
 [ 770.137  344.275]
 [ 753.705  347.686]
 [ 738.594  349.363]]"
2,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_113.png,"[[ 185.361  171.451]
 [ 179.814  203.177]
 [ 178.     237.707]
 [ 180.359  271.363]
 [ 194.061  303.991]
 [ 214.097  328.094]
 [ 235.782  348.779]
 [ 259.398  366.554]
 [ 288.419  373.47 ]
 [ 316.841  367.789]
 [ 333.814  350.291]
 [ 347.643  327.171]
 [ 358.505  308.473]
 [ 372.311  289.105]
 [ 385.047  267.658]
 [ 391.964  245.334]
 [ 393.222  218.608]
 [ 240.434  176.168]
 [ 263.426  167.   ]
 [ 285.532  171.175]
 [ 305.47   181.31 ]
 [ 323.532  191.883]
 [ 347.258  194.481]
 [ 363.183  189.258]
 [ 377.745  186.012]
 [ 389.168  184.739]
 [ 398.81   185.046]
 [ 332.791  203.222]
 [ 333.129  220.558]
 [ 333.851  237.798]
 [ 334.032  255.651]
 [ 294.882  255.539]
 [ 310.352  263.967]
 [ 324.126  271.205]
 [ 336.448  267.859]
 [ 346.359  263.604]
 [ 257.166  191.828]
 [ 272.553  191.11 ]
 [ 286.392  193.018]
 [ 296.551  201.305]
 [ 285.091  198.922]
 [ 271.337  196.738]
 [ 345.666  206.846]
 [ 358.471  201.296]
 [ 370.686  203.492]
 [ 381.263  207.928]
 [ 369.906  209.493]
 [ 357.939  207.854]
 [ 252.545  273.222]
 [ 275.048  270.82 ]
 [ 298.691  277.18 ]
 [ 309.813  280.444]
 [ 321.092  280.806]
 [ 334.813  281.1  ]
 [ 348.263  280.805]
 [ 328.147  313.118]
 [ 310.067  324.996]
 [ 297.697  325.675]
 [ 284.923  322.914]
 [ 262.246  312.472]
 [ 255.977  277.207]
 [ 297.424  280.545]
 [ 308.919  283.205]
 [ 319.964  283.641]
 [ 341.83   284.018]
 [ 313.753  311.176]
 [ 301.397  313.259]
 [ 289.377  311.025]]"
3,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_141.png,"[[  71.422   73.266]
 [  68.514   86.405]
 [  66.14   100.528]
 [  66.     115.176]
 [  70.98   127.705]
 [  80.12   139.238]
 [  90.485  148.986]
 [ 102.525  155.863]
 [ 115.826  159.786]
 [ 129.064  160.538]
 [ 140.59   157.782]
 [ 151.023  149.896]
 [ 158.331  140.597]
 [ 163.848  130.723]
 [ 167.256  119.402]
 [ 169.9    109.398]
 [ 172.574   98.388]
 [  94.488   65.419]
 [ 102.765   61.   ]
 [ 113.413   62.769]
 [ 123.337   66.441]
 [ 131.496   69.617]
 [ 143.282   75.081]
 [ 150.539   74.275]
 [ 157.797   73.871]
 [ 165.3     74.369]
 [ 171.11    78.424]
 [ 135.483   79.234]
 [ 134.379   87.477]
 [ 133.639   95.209]
 [ 132.443  103.384]
 [ 113.477  104.439]
 [ 121.19   109.248]
 [ 128.095  112.885]
 [ 135.606  112.611]
 [ 141.485  112.032]
 [  98.263   74.091]
 [ 106.031   75.167]
 [ 114.001   77.859]
 [ 121.612   82.507]
 [ 112.233   82.483]
 [ 104.085   79.956]
 [ 140.686   86.861]
 [ 149.277   86.271]
 [ 155.823   87.955]
 [ 162.262   91.81 ]
 [ 154.249   92.181]
 [ 148.021   90.373]
 [  93.182  116.58 ]
 [ 106.417  115.547]
 [ 118.217  116.502]
 [ 122.994  119.089]
 [ 129.461  119.797]
 [ 139.113  124.004]
 [ 146.248  129.487]
 [ 135.957  137.743]
 [ 124.481  138.066]
 [ 118.162  136.408]
 [ 112.236  136.191]
 [ 100.491  131.405]
 [  96.969  117.68 ]
 [ 117.523  118.738]
 [ 122.483  120.872]
 [ 128.938  121.195]
 [ 142.732  128.882]
 [ 125.403  133.854]
 [ 119.355  132.969]
 [ 112.99   131.849]]"
4,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_012.png,"[[  70.318   64.34 ]
 [  66.076   73.504]
 [  65.271   83.257]
 [  64.867   93.131]
 [  64.     105.485]
 [  64.439  117.692]
 [  66.903  130.322]
 [  72.178  140.478]
 [  81.661  148.481]
 [  96.397  150.114]
 [ 112.27   148.756]
 [ 125.519  143.318]
 [ 135.998  133.497]
 [ 143.695  123.34 ]
 [ 149.248  111.261]
 [ 154.91    97.395]
 [ 160.175   85.334]
 [  74.035   61.323]
 [  81.563   60.   ]
 [  88.417   63.041]
 [  94.14    67.337]
 [ 100.654   70.608]
 [ 112.288   73.449]
 [ 119.446   72.384]
 [ 128.275   73.899]
 [ 135.553   78.241]
 [ 142.638   83.163]
 [ 103.064   76.981]
 [ 100.7     83.23 ]
 [  98.094   89.545]
 [  95.024   96.495]
 [  86.24    98.591]
 [  89.609  100.717]
 [  93.567  102.876]
 [  99.58   104.43 ]
 [ 104.666  105.309]
 [  80.863   69.606]
 [  86.1     68.667]
 [  92.164   71.553]
 [  95.718   75.706]
 [  90.7     74.588]
 [  85.031   73.235]
 [ 117.611   80.004]
 [ 122.511   79.481]
 [ 128.092   82.065]
 [ 132.375   84.787]
 [ 127.228   84.826]
 [ 121.144   83.3  ]
 [  79.108  113.929]
 [  83.72   110.395]
 [  88.117  110.17 ]
 [  90.993  112.529]
 [  94.85   112.841]
 [  99.617  116.454]
 [ 104.805  122.092]
 [  97.352  123.582]
 [  92.264  123.555]
 [  87.931  122.463]
 [  84.146  120.203]
 [  81.47   117.63 ]
 [  81.586  114.109]
 [  86.821  113.275]
 [  90.006  115.354]
 [  93.875  116.135]
 [ 102.125  121.37 ]
 [  93.875  116.135]
 [  90.006  115.354]
 [  86.821  113.275]]"
5,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_168.png,"[[ 104.763  146.7  ]
 [ 103.498  161.218]
 [ 105.044  176.086]
 [ 107.885  189.343]
 [ 113.19   206.51 ]
 [ 122.474  218.029]
 [ 130.901  230.644]
 [ 144.1    240.817]
 [ 161.266  239.798]
 [ 177.495  233.962]
 [ 194.581  221.547]
 [ 210.855  209.395]
 [ 224.439  196.534]
 [ 232.812  181.531]
 [ 234.543  162.007]
 [ 234.99   144.865]
 [ 235.903  128.673]
 [ 102.     119.23 ]
 [ 107.489  111.785]
 [ 117.69   108.641]
 [ 127.429  110.868]
 [ 136.479  114.806]
 [ 155.744  111.389]
 [ 167.219  106.151]
 [ 180.22   104.   ]
 [ 190.996  107.996]
 [ 200.34   113.381]
 [ 144.75   137.328]
 [ 142.984  144.999]
 [ 140.893  151.383]
 [ 138.594  159.304]
 [ 124.947  174.953]
 [ 132.217  178.047]
 [ 139.952  179.284]
 [ 152.481  176.036]
 [ 163.692  174.162]
 [ 106.988  140.524]
 [ 114.705  138.606]
 [ 125.008  137.537]
 [ 134.661  135.973]
 [ 124.972  140.747]
 [ 114.905  141.773]
 [ 164.905  137.331]
 [ 175.897  133.878]
 [ 185.903  133.656]
 [ 195.547  133.773]
 [ 186.373  137.355]
 [ 175.97   137.609]
 [ 120.679  199.463]
 [ 126.005  191.585]
 [ 133.422  189.052]
 [ 140.19   191.211]
 [ 149.05   189.43 ]
 [ 160.039  192.196]
 [ 170.264  199.648]
 [ 160.397  209.526]
 [ 149.741  212.293]
 [ 140.577  212.873]
 [ 132.565  212.775]
 [ 125.398  211.599]
 [ 124.54   199.155]
 [ 133.241  199.4  ]
 [ 140.291  199.112]
 [ 148.938  198.972]
 [ 164.141  199.772]
 [ 148.938  198.972]
 [ 140.291  199.112]
 [ 133.241  199.4  ]]"
6,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_220.png,"[[  47.      55.503]
 [  47.535   64.342]
 [  47.46    73.74 ]
 [  49.598   83.77 ]
 [  54.407   92.824]
 [  61.608   99.704]
 [  69.674  104.387]
 [  78.818  107.765]
 [  87.504  108.887]
 [  96.918  106.217]
 [ 104.024  100.888]
 [ 109.502   93.708]
 [ 114.905   87.268]
 [ 116.681   78.016]
 [ 116.681   68.763]
 [ 116.755   59.828]
 [ 116.839   50.988]
 [  54.431   52.553]
 [  57.089   46.367]
 [  63.091   44.929]
 [  70.419   45.892]
 [  76.341   47.668]
 [  92.21    48.2  ]
 [  97.778   44.595]
 [ 104.448   42.275]
 [ 110.031   43.   ]
 [ 112.912   46.734]
 [  85.889   53.812]
 [  86.482   59.659]
 [  86.556   64.84 ]
 [  87.074   71.132]
 [  76.867   75.11 ]
 [  82.333   76.455]
 [  87.37    76.387]
 [  91.441   75.425]
 [  95.364   73.353]
 [  61.584   57.243]
 [  66.874   54.219]
 [  72.149   53.947]
 [  76.415   55.81 ]
 [  71.974   57.29 ]
 [  66.644   57.735]
 [  93.439   54.922]
 [  99.463   52.516]
 [ 105.119   53.023]
 [ 110.184   55.404]
 [ 105.2     55.964]
 [  99.13    55.619]
 [  71.974   86.232]
 [  79.371   84.52 ]
 [  83.428   83.34 ]
 [  86.738   83.989]
 [  90.662   83.418]
 [  96.242   84.093]
 [ 101.962   84.376]
 [  96.006   89.407]
 [  91.077   91.1  ]
 [  86.947   91.677]
 [  83.386   91.525]
 [  79.19    89.385]
 [  74.49    86.01 ]
 [  83.518   86.018]
 [  86.73    86.098]
 [  90.678   85.789]
 [  99.182   85.053]
 [  90.678   85.789]
 [  86.73    86.098]
 [  83.518   86.018]]"
7,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_184.png,"[[ 104.426  145.967]
 [ 103.406  162.942]
 [ 102.032  181.109]
 [ 102.     196.712]
 [ 103.943  213.03 ]
 [ 108.845  229.058]
 [ 113.543  242.585]
 [ 121.139  256.018]
 [ 134.554  263.91 ]
 [ 155.793  266.098]
 [ 175.873  260.564]
 [ 194.973  250.694]
 [ 206.256  233.746]
 [ 214.339  216.145]
 [ 221.495  198.265]
 [ 229.048  180.249]
 [ 235.524  160.287]
 [ 114.197  121.959]
 [ 121.565  115.   ]
 [ 132.048  115.922]
 [ 140.757  121.011]
 [ 146.826  128.714]
 [ 165.113  128.871]
 [ 179.123  127.076]
 [ 193.799  131.056]
 [ 205.665  138.423]
 [ 211.871  149.368]
 [ 152.41   144.349]
 [ 149.618  154.747]
 [ 146.505  165.371]
 [ 143.536  175.949]
 [ 129.116  186.478]
 [ 135.659  190.884]
 [ 142.338  193.681]
 [ 151.584  193.801]
 [ 160.638  193.35 ]
 [ 118.867  142.948]
 [ 126.839  139.513]
 [ 135.548  142.054]
 [ 141.756  149.672]
 [ 133.728  150.16 ]
 [ 124.028  148.183]
 [ 167.23   155.308]
 [ 177.36   150.8  ]
 [ 186.715  153.733]
 [ 193.781  159.631]
 [ 185.935  160.908]
 [ 175.711  160.059]
 [ 118.19   206.007]
 [ 125.677  200.39 ]
 [ 135.294  200.951]
 [ 142.001  203.721]
 [ 150.382  204.61 ]
 [ 165.997  210.535]
 [ 176.969  218.767]
 [ 162.327  236.987]
 [ 146.058  240.492]
 [ 137.475  238.626]
 [ 129.793  234.775]
 [ 121.914  223.999]
 [ 122.16   207.683]
 [ 134.383  206.266]
 [ 141.099  208.138]
 [ 149.714  209.546]
 [ 174.313  219.798]
 [ 147.028  231.907]
 [ 138.522  230.135]
 [ 131.229  227.662]]"
8,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_006.png,"[[ 164.     170.903]
 [ 167.005  189.504]
 [ 170.737  211.775]
 [ 178.852  234.329]
 [ 190.674  251.718]
 [ 205.096  265.316]
 [ 222.972  275.715]
 [ 241.79   285.033]
 [ 262.88   284.809]
 [ 285.552  279.041]
 [ 300.855  266.791]
 [ 314.407  250.411]
 [ 324.37   231.519]
 [ 326.925  215.035]
 [ 327.66   195.083]
 [ 327.614  172.951]
 [ 326.169  150.908]
 [ 184.215  148.547]
 [ 190.169  139.328]
 [ 203.698  132.133]
 [ 222.081  132.732]
 [ 238.512  137.307]
 [ 260.797  132.318]
 [ 272.42   124.163]
 [ 286.844  122.   ]
 [ 301.971  126.218]
 [ 310.211  140.169]
 [ 248.225  150.62 ]
 [ 249.699  163.915]
 [ 251.185  177.264]
 [ 252.691  189.057]
 [ 236.575  204.869]
 [ 246.323  205.817]
 [ 255.127  205.524]
 [ 263.945  203.428]
 [ 270.672  200.063]
 [ 199.459  159.423]
 [ 208.896  152.672]
 [ 219.516  151.129]
 [ 228.451  157.073]
 [ 220.479  162.196]
 [ 208.983  162.287]
 [ 267.964  151.513]
 [ 277.927  143.022]
 [ 289.46   142.443]
 [ 297.881  147.037]
 [ 289.78   153.435]
 [ 278.957  152.581]
 [ 227.188  237.949]
 [ 237.785  230.243]
 [ 247.159  227.592]
 [ 256.962  228.309]
 [ 266.649  224.996]
 [ 277.671  226.144]
 [ 289.541  228.527]
 [ 279.955  237.527]
 [ 268.909  242.063]
 [ 259.408  244.082]
 [ 250.655  244.651]
 [ 239.195  242.337]
 [ 231.105  237.327]
 [ 248.636  233.871]
 [ 257.529  232.796]
 [ 266.831  231.129]
 [ 284.806  229.012]
 [ 267.197  232.92 ]
 [ 258.02   235.244]
 [ 249.071  236.008]]"
9,/media/drive/ibug/300W_cropped/02_Outdoor/outdoor_030.png,"[[ 415.     238.   ]
 [ 420.413  305.205]
 [ 435.1    366.469]
 [ 453.728  426.281]
 [ 481.166  483.729]
 [ 510.27   528.372]
 [ 554.48   564.347]
 [ 607.851  590.834]
 [ 671.934  596.26 ]
 [ 716.337  582.964]
 [ 748.225  548.325]
 [ 776.131  499.785]
 [ 796.946  449.188]
 [ 807.834  393.147]
 [ 820.963  318.853]
 [ 827.602  260.137]
 [ 825.553  202.799]
 [ 479.676  261.477]
 [ 513.706  236.987]
 [ 565.512  235.261]
 [ 617.155  247.469]
 [ 655.874  264.058]
 [ 700.055  257.718]
 [ 731.089  236.786]
 [ 762.765  221.829]
 [ 794.788  212.718]
 [ 821.004  208.   ]
 [ 680.354  287.841]
 [ 682.446  328.818]
 [ 685.201  365.328]
 [ 687.601  403.948]
 [ 623.261  398.611]
 [ 653.299  413.63 ]
 [ 687.565  422.721]
 [ 709.746  410.973]
 [ 723.882  390.026]
 [ 538.586  299.209]
 [ 571.231  294.566]
 [ 599.419  291.995]
 [ 627.085  302.362]
 [ 599.628  302.478]
 [ 570.621  304.541]
 [ 721.588  284.233]
 [ 743.186  275.866]
 [ 766.978  273.436]
 [ 788.511  270.914]
 [ 768.043  283.326]
 [ 744.133  285.635]
 [ 602.195  452.767]
 [ 636.209  452.634]
 [ 657.924  452.143]
 [ 678.164  453.957]
 [ 694.234  450.022]
 [ 710.431  449.559]
 [ 733.994  446.934]
 [ 711.691  461.31 ]
 [ 696.359  473.365]
 [ 678.901  480.026]
 [ 658.324  479.564]
 [ 636.27   474.275]
 [ 615.116  455.48 ]
 [ 657.459  460.735]
 [ 678.451  460.593]
 [ 694.915  457.326]
 [ 720.455  448.477]
 [ 694.915  457.326]
 [ 678.451  460.593]
 [ 657.459  460.735]]"
